Responses,Labels
"When healing from mental illness, early identification and treatment are very important. Based on the nature of the illness, there are a range of effective treatments available. For any type of treatment, it is essential that the person affected is proactive and fully engaged in their own recovery process. Many people with mental illnesses who are diagnosed and treated respond well, although some might experience a return of symptoms. Even in such cases, with careful monitoring and management of the disorder, it is still quite possible to live a fulfilled and productive life.",20
"suicide is a very traumatic loss and affects survivors significantly. Never take the extreme step as this is not the end of your road. If youâ€™re experiencing suicidal thoughts, you should seek help right away.
Was this helpful?",23
It's normal to feel sad. To feel sad is to be a human. We all have our good days and our bad days. Drinking a lot of water and taking walks really helps.,21
" The harder you work for something, the greater youâ€™ll feel when you achieve it. Keep pushing forward. Also, there's nothing wrong with taking a break. We all need breaks to function efficiently. Good Luck!",5
"You could share this program or encourage your colleagues with such symptoms to talk to their friends and family members and seek the counsel of a mental health professional. 
The sooner the mental health condition is identified and treated, the sooner they can get on the path to recovery.If you know someone who is having problems, don't assume that the issue will resolve itself. Let them know that you care about them, and that there are treatment options available that will help them heal. Speak with a mental health professional or counselor if you think your friend or family member is experiencing the symptoms of a mental health condition. If the affected loved one knows that you support them, they will be more likely to seek out help.",19
"Feeling comfortable with the professional you are working with is critical to the success of the treatment. Finding the professional who best fits your needs may require research. Start by visiting the counselling department in your station.Itâ€™s not always easy to start the conversation, but itâ€™s always ok to ask for help.",9
"Just as there are different types of medications for physical illness, different treatment options are available for individuals with mental illness. Treatment works differently for different people. It is important to find what works best for you.",28
"With mental health, recovery means different things to different people. Whatâ€™s important is building a meaningful life â€“ whatever that means to you.",28
"Since beginning treatment is a big step for individuals and families, and can be very overwhelming.Treatment can reduce the distress associated with symptoms and can even help reduce the symptoms themselves. Depending on the person, these therapies may take time (often months) to show benefits",29
Only travel if you can do so safely.,12
"This is really hard, and I'm so sorry for your loss. It's natural to feel some anxiety after losing a loved one. In fact, people often feel a range of emotions. Sadness, guilt, as well as anxiety. Some important things you can do: Talk to friends. Try and share your feelings with the people close to you.
Was this helpful?",0
Please get a financial advisor.,8
"What do you call a female police officer playing guitar? 
 A She-riff.",14
"Officer: Do you know why I pulled you over?
Me: You were bored and wanted some company?",14
"Officer: Do you have any idea how fast you were going?
 Driver: Isnâ€™t it your job to tell me?",14
"Why did the thief wear blue gloves?
 He didnâ€™t want to be caught red-handed.",14
"Why are policemen such great volleyball players? 
 They know how to serve and protect.",14
"Mapenzi ni kama stima, inaweza potea anytime. So please tafuta generatorðŸ˜‚",14
Are you having fun over there?,15
I believe Jambo means'Hello',24
"Calm down. Take a deep breath. Everything will be alright. Close your eyes and breathe normally. There's nothing to worry about.
Was this helpful?",7
"Different kinds of therapy are more effective based on the nature of the mental health condition and/or symptoms and the person who has them (for example, children will benefit from a therapist who specializes in children's mental health).",13
Where you go for help will depend on the nature of the problem and/or symptoms and what best fits you.,13
"Often, the best place to start is by talking with someone you trust about your concerns, such as a family member, friend, clergy, healthcare provider, or other professionals.",13
"Having this social support is essential in healing from mental illness, and you will be able to ask them for referrals or recommendations for trusted mental health practitioners.",13
Search for mental health resources in your area.,13
"There are people and places throughout Kenya that provide services to talk, to listen, and to help you on your journey to recovery.",13
Many people find peer support a helpful tool that can aid in their recovery.,13
"There are a variety of organizations that offer support groups for consumers, their family members, and friends.",13
Some support groups are peer led while others may be led by a mental health professional.,13
Please talk to someone close to you about how you are feeling.,2
Please talk to someone close to you about how you are feeling.,1
Please talk to someone close to you about how you are feeling.,31
